County,Precinct Number,Location,Address,Zipcode
Alachua,01,First Baptist Church of Waldo,"14370 Kennard St, Waldo, FL",32694-0216
Alachua,02,LaCrosse Town Hall,"20613 N. SR 121, Lacrosse, FL",32658-0000
Alachua,03,Legacy Park Multipurpose Center,"15400 Peggy Rd, Alachua, FL",32615
Alachua,04,Alachua County Agriculture and Equestrian Center,"23100 W Newberry Rd, Newberry, FL",32669-0000
Alachua,05,First Lutheran Church,"1801 NW 5th Ave, Gainesville, FL",32603-1624
Alachua,06,Mentholee Norfleet Municipal Building,"25420 W Newberry Rd, Newberry, FL",32669
Alachua,07,Ignite Life Center,"404 NW 14th Ave, Gainesville, FL",32601-4215
Alachua,08,Hawthorne Community Center,"6700 SE 221 St, Hawthorne, FL",32640-3816
Alachua,09,Island Grove Baptist Church,"20905 SE 219th Ave, Island Grove, FL",32654-0000
Alachua,10,Micanopy Town Hall,"706 NE Cholokka Blvd, Micanopy, FL",32667-4113
Alachua,11,Archer Community Center,"16671 SW 137th Ave, Archer, FL",32618
Alachua,12,Partnership Branch Library,"912 NE 16th Ave, Gainesville, FL",32601
Alachua,13,Mt. Carmel Baptist Church,"2505 NE 8th Ave, Gainesville, FL",32641-4808
Alachua,14,Melrose United Methodist Church,"5807 NE Hampton St, Melrose, FL",32666
Alachua,15,Windsor Baptist Church,"918 SE County Road 234, Gainesville, FL",32641-1306
Alachua,16,Best Western Gateway Grand Hotel,"4200 NW 97th Blvd, Gainesville, FL",32606-3742
Alachua,17,Unitarian Universalist Fellowship,"4225 NW 34th St, Gainesville, FL",32605
Alachua,18,Gainesville Shrine Club,"8100 SW Archer Rd, Gainesville, FL",32608
Alachua,19,Springhill Baptist Church,"120 SE Williston Rd, Gainesville, FL",32641-9718
Alachua,20,High Springs Civic Center,"330 NW Santa Fe Blvd, High Springs, FL",32643
Alachua,21,North Central Florida YMCA,"5201 NW 34th Blvd, Gainesville, FL",32605
Alachua,22,Santa Fe College NW Campus Room S-029,"3000 NW 83rd St, Gainesville, FL",32606
Alachua,23,Harn Museum of Art,"3259 Hull Rd, Gainesville, FL",32611
Alachua,24,Millhopper Branch Library,"3145 NW 43rd St, Gainesville, FL",32606-7468
Alachua,25,Santa Fe College Blount Center,"401 NW 6th St, Gainesville, FL",32601
Alachua,26,Westside Recreation Center,"1001 NW 34th St, Gainesville, FL",32605-5000
Alachua,27,The Thomas Center,"302 NE 6th Ave, Gainesville, FL",32601
Alachua,28,McPherson Recreation Center,"1717 SE 15th St, Gainesville, FL",32602-0000
Alachua,29,Haile Meeting Hall,"5100 SW 91st Ter, Gainesville, FL",32608-8143
Alachua,30,Greater Bethel A.M.E. Church,"701 SE 43rd St, Gainesville, FL",32641-7665
Alachua,31,J. Wayne Reitz Union,"655 Reitz Union Dr, Gainesville, FL",32611-0000
Alachua,32,Westside Recreation Center,"1001 NW 34th St, Gainesville, FL",32605-5000
Alachua,33,Ironwood Golf Course,"2100 NE 39th Ave, Gainesville, FL",32609
Alachua,34,Fairbanks Baptist Church,"5709 NE 78th Pl, Gainesville, FL",32609-1301
Alachua,35,Southwest United Methodist Church,"2400 SW Williston Rd, Gainesville, FL",32643-0000
Alachua,36,Hilton UF Conference Center,"1714 SW 34th St, Gainesville, FL",32607
Alachua,37,Trinity United Methodist Church,"4000 NW 53rd Ave, Gainesville, FL",32653
Alachua,38,Senior Recreation Center,"5701 NW 34th Blvd, Gainesville, FL",32653-1776
Alachua,39,Doyle Conner Building,"1911 SW 34th St, Gainesville, FL",32607
Alachua,40,Comfort Suites,"2603 SW 13th St, Gainesville, FL",32608
Alachua,41,St. Joseph's Episcopal Church,"16921 Newberry Rd, Newberry, FL",32669
Alachua,42,Tower Road Branch Library,"3020 SW 75th St, Gainesville, FL",32608-0000
Alachua,43,Grace United Methodist Church,"9325 Newberry Rd, Gainesville, FL",32607-0000
Alachua,44,Phillips Center for the Performing Arts,"3201 Hull Rd, Gainesville, FL",32611-2750
Alachua,45,Faith Presbyterian Church,"5916 NW 39th Ave, Gainesville, FL",32606
Alachua,46,Westside Baptist Church,"10000 Newberry Rd, Gainesville, FL",32606-5544
Alachua,47,The Family Church,"2022 SW 122nd St, Gainesville, FL",32607-1024
Alachua,48,Freedom Community Center at Kanapaha Park,"7340 SW 41st Pl, Gainesville, FL",32606-3903
Alachua,49,Abundant Grace Community Church,"12505 NW 39th Ave, Gainesville, FL",32606
Alachua,50,Westminster Presbyterian Church,"1521 NW 34th St, Gainesville, FL",32605-5033
Alachua,51,Gainesville Church of God,"7003 NW 39th Ave, Gainesville, FL",32606
