candidate,topic,stance,party,link
Joe Biden,Climate Change,"Joe Biden has consistently advocated for strong action against climate change. He supports the Paris Agreement and aims to achieve net-zero greenhouse gas emissions by 2050. His administration has prioritized investments in renewable energy, electric vehicles, and infrastructure projects designed to reduce carbon emissions.",Democratic,https://en.wikipedia.org/wiki/Environmental_policy_of_the_Joe_Biden_administration#:~:text=Biden%20promised%20to%20end%20and,created%20to%20lead%20the%20effort.
Joe Biden,Gun Control,"Joe Biden supports stricter gun control measures. He advocates for universal background checks, banning assault weapons, and implementing a national 'red flag' law to prevent individuals deemed dangerous from purchasing firearms.",Democratic,
Joe Biden,Healthcare Reform,"Joe Biden supports expanding access to healthcare through the Affordable Care Act (ACA) and proposes further reforms such as lowering prescription drug costs, allowing Medicare to negotiate drug prices, and expanding Medicaid.",Democratic,
Joe Biden,Immigration Policy,"Biden supports comprehensive immigration reform, including a pathway to citizenship for undocumented immigrants already living in the U.S., increasing border security, and addressing root causes of migration in Central America.",Democratic,
Joe Biden,Abortion Rights,Biden believes in protecting Roe v. Wade and women's reproductive rights. He opposes efforts to restrict abortion access and supports legislation that would codify Roe v. Wade into federal law.,Democratic,
Joe Biden,Education Funding,"Biden supports increased funding for public education at all levels, from pre-K to higher education. He advocates for free community college, reducing student loan debt, and improving teacher pay.",Democratic,
Joe Biden,Minimum Wage,"Biden supports raising the minimum wage to $15 per hour, arguing that this will help lift workers out of poverty and stimulate economic growth.",Democratic,
Joe Biden,Tax Reform,"Biden proposes tax reforms aimed at reducing inequality, including raising taxes on corporations and the wealthy, closing loopholes, and investing in infrastructure and social programs.",Democratic,
Joe Biden,Criminal Justice Reform,"Biden supports significant criminal justice reform, including ending private prisons, decriminalizing marijuana, and providing resources for reentry programs to reduce recidivism.",Democratic,
Joe Biden,Foreign Policy,"Biden emphasizes diplomacy over military intervention, supporting alliances like NATO and the United Nations. He advocates for rejoining international agreements like the Paris Climate Accord and the Iran nuclear deal.",Democratic,
Joe Biden,Voting Rights,"Biden supports strengthening voting rights and election integrity, including passing the For the People Act to expand voting access and combat voter suppression.",Democratic,
Joe Biden,LGBTQIA+ Rights,"Biden is a strong supporter of LGBTQ+ rights, advocating for policies that protect against discrimination based on sexual orientation and gender identity, including marriage equality and transgender rights.",Democratic,
Joe Biden,Economic Inequality,"Biden focuses on addressing economic inequality through investments in education, childcare, and affordable housing, as well as by promoting fair wages and labor protections.",Democratic,
Joe Biden,Police Reform,"Biden supports police reform to increase accountability and transparency, including measures like body cameras, de-escalation training, and independent investigations into police misconduct.",Democratic,
Joe Biden,Drug Legalization,"While Biden does not support full legalization of recreational marijuana, he supports decriminalization and expunging past convictions for marijuana possession. He also supports medical marijuana research.",Democratic,
Donald Trump,Climate Change,"Trump frequently referred to climate change as a 'hoax' and diminished its severity. His administration weakened or wiped out over 125 environmental rules and policies from 2016-2020. Trump's Supreme Court nominees ignored calls for climate change protections, making it more difficult for executive branch agencies to combat climate change. He withdrew the U.S. from the Paris Agreement, which was adopted in 2015 to combat climate change. If reelected, Trump promised to reverse many of President Biden's environmental rules and policies and halt new ones from being enacted.",Republican,https://glaad.org/fact-sheet-donald-trump-on-lgbtq-issues-climate-change/
Donald Trump,Gun Control,Trump supported gun rights and opposed many forms of gun control measures. He signed legislation that expanded background checks for gun purchases but also allowed for the sale of silencers and lifted restrictions on gun ownership for individuals with mental illness.,Republican,
